member_id,scope,committee_id,committee_name,role,aanwezig,afwezig,verontschuldigd
4610,commissie,1832495.0,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",niet-lid-aanwezigheid,1.0,,
4610,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",niet-lid-aanwezigheid,14.0,,
4610,commissie,1832499.0,"Commissie voor Wonen, Toerisme, Energie en Klimaat",niet-lid-aanwezigheid,1.0,,
4444,plenaire,,,,82.0,1.0,2.0
4444,commissie,1829775.0,Commissie ad hoc,plaatsvervangend-lid-aanwezigheid,1.0,,
4444,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",vast-lid-aanwezigheid,62.0,14.0,4.0
4444,commissie,1832489.0,Commissie voor Binnenlands Bestuur en Inburgering,niet-lid-aanwezigheid,3.0,,
4444,commissie,1832490.0,Commissie voor Brussel en de Vlaamse Rand en Dierenwelzijn,plaatsvervangend-lid-aanwezigheid,1.0,,1.0
4444,commissie,1832493.0,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",niet-lid-aanwezigheid,1.0,,
4444,commissie,1832494.0,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",vast-lid-aanwezigheid,44.0,9.0,3.0
4444,commissie,1832495.0,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",plaatsvervangend-lid-aanwezigheid,20.0,,3.0
4444,commissie,1832496.0,Commissie voor Mobiliteit en Openbare Werken,plaatsvervangend-lid-aanwezigheid,,,2.0
4444,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",niet-lid-aanwezigheid,3.0,,
4444,commissie,1832499.0,"Commissie voor Wonen, Toerisme, Energie en Klimaat",niet-lid-aanwezigheid,1.0,,
4661,plenaire,,,,80.0,,
4661,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",plaatsvervangend-lid-aanwezigheid,7.0,,
4661,commissie,1832489.0,Commissie voor Binnenlands Bestuur en Inburgering,vast-lid-aanwezigheid,58.0,4.0,
4661,commissie,1832491.0,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",niet-lid-aanwezigheid,2.0,,
4661,commissie,1832493.0,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",plaatsvervangend-lid-aanwezigheid,4.0,,
4661,commissie,1832495.0,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",niet-lid-aanwezigheid,1.0,,
4661,commissie,1832496.0,Commissie voor Mobiliteit en Openbare Werken,niet-lid-aanwezigheid,1.0,,
4661,commissie,1832497.0,Commissie voor Onderwijs,niet-lid-aanwezigheid,1.0,,
4661,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",niet-lid-aanwezigheid,2.0,,
4661,commissie,1832499.0,"Commissie voor Wonen, Toerisme, Energie en Klimaat",niet-lid-aanwezigheid,1.0,,
4613,plenaire,,,,83.0,1.0,1.0
4613,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",plaatsvervangend-lid-aanwezigheid,12.0,,
4613,commissie,1832489.0,Commissie voor Binnenlands Bestuur en Inburgering,niet-lid-aanwezigheid,1.0,,
4613,commissie,1832490.0,Commissie voor Brussel en de Vlaamse Rand en Dierenwelzijn,niet-lid-aanwezigheid,1.0,,
4613,commissie,1832491.0,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",plaatsvervangend-lid-aanwezigheid,53.0,,1.0
4613,commissie,1832492.0,"Commissie voor Cultuur, Jeugd, Sport en Media",vast-lid-aanwezigheid,53.0,20.0,54.0
4613,commissie,1832493.0,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",niet-lid-aanwezigheid,11.0,,
4613,commissie,1832494.0,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",niet-lid-aanwezigheid,1.0,,
4613,commissie,1832496.0,Commissie voor Mobiliteit en Openbare Werken,niet-lid-aanwezigheid,1.0,,
4613,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",niet-lid-aanwezigheid,1.0,,
4613,commissie,1832499.0,"Commissie voor Wonen, Toerisme, Energie en Klimaat",vast-lid-aanwezigheid,80.0,7.0,10.0
4613,commissie,1832506.0,Interparlementaire Commissie van de Nederlandse Taalunie,vast-lid-aanwezigheid,3.0,2.0,2.0
4070,plenaire,,,,83.0,,2.0
4070,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",niet-lid-aanwezigheid,1.0,,
4070,commissie,1832489.0,Commissie voor Binnenlands Bestuur en Inburgering,niet-lid-aanwezigheid,1.0,,
4070,commissie,1832492.0,"Commissie voor Cultuur, Jeugd, Sport en Media",niet-lid-aanwezigheid,1.0,,
