member_id,question_id,role,publicatiedatum,onderwerp
3433,2027852,vraagsteller,2026-06-23,Ouders met zieke kinderen  -  Ondersteuning
2836,2027852,minister,2026-06-23,Ouders met zieke kinderen  -  Ondersteuning
4634,2027265,vraagsteller,2026-06-23,Masterplan jeugdhulp  -  Uitwerking
2836,2027265,minister,2026-06-23,Masterplan jeugdhulp  -  Uitwerking
4634,2027259,vraagsteller,2026-06-23,Fugue uit jeugdhulpvoorzieningen  -  Problematiek
2836,2027259,minister,2026-06-23,Fugue uit jeugdhulpvoorzieningen  -  Problematiek
4647,2027232,vraagsteller,2026-06-23,Rebelle vzw  -  Campagne 'Make Shi(f)t happen' (3)
2836,2027232,minister,2026-06-23,Rebelle vzw  -  Campagne 'Make Shi(f)t happen' (3)
4432,2026871,vraagsteller,2026-06-23,Groeipakket  -  Niet-begeleide minderjarige vreemdelingen
2836,2026871,minister,2026-06-23,Groeipakket  -  Niet-begeleide minderjarige vreemdelingen
3446,2024923,vraagsteller,2026-06-23,Vrijstellingenbesluit en architectenmedewerking bij stabiliteitswerken  -  Evaluatie
4430,2024923,minister,2026-06-23,Vrijstellingenbesluit en architectenmedewerking bij stabiliteitswerken  -  Evaluatie
3446,2024604,vraagsteller,2026-06-23,Import Oekraïense eieren  -  Impact (2)
4430,2024604,minister,2026-06-23,Import Oekraïense eieren  -  Impact (2)
3446,2024603,vraagsteller,2026-06-23,Import Oekraïense eieren  -  Impact (2)
4104,2024603,minister,2026-06-23,Import Oekraïense eieren  -  Impact (2)
3433,2024706,vraagsteller,2026-06-22,Kinderopvang  -  Meldingen en klachten (2)
2836,2024706,minister,2026-06-22,Kinderopvang  -  Meldingen en klachten (2)
4634,2024038,vraagsteller,2026-06-22,"Masterplan Jeugdhulp - Organisatiestructuur, opdrachtomschrijving en positionering vertrouwenscentra kindermishandeling en Expertisecentrum"
2836,2024038,minister,2026-06-22,"Masterplan Jeugdhulp - Organisatiestructuur, opdrachtomschrijving en positionering vertrouwenscentra kindermishandeling en Expertisecentrum"
4445,2023937,vraagsteller,2026-06-22,Plaatselijk werkgelegenheidsagentschap (PWA) en wijk-werken  -  Overgang naar samenlevingsjobs
4440,2023937,minister,2026-06-22,Plaatselijk werkgelegenheidsagentschap (PWA) en wijk-werken  -  Overgang naar samenlevingsjobs
4621,2022950,vraagsteller,2026-06-22,VDAB  -  Tijdelijke functieverzwaringen
4440,2022950,minister,2026-06-22,VDAB  -  Tijdelijke functieverzwaringen
4618,2021900,vraagsteller,2026-06-22,VDAB  -  Contactgegevens werkzoekenden
4440,2021900,minister,2026-06-22,VDAB  -  Contactgegevens werkzoekenden
