member_id,belangrijk_mandaat,titel,omschrijving,datum_van,datum_tot,commissie_id,commissie_afkorting,commissie_titel
3430,J,"Commissie voor Economie, Economisch Overheidsinstrumentarium, Innovatie, Wetenschapsbeleid, Werk en Sociale Economie",tweede ondervoorzitter,2012-02-15T00:00:00+0100,2014-05-24T00:00:00+0200,560542,ECO,"Commissie voor Economie, Economisch Overheidsinstrumentarium, Innovatie, Wetenschapsbeleid, Werk en Sociale Economie"
3430,J,"Commissie voor Economie, Economisch Overheidsinstrumentarium, Innovatie, Wetenschapsbeleid, Werk en Sociale Economie",secretaris,2009-09-28T00:00:00+0200,2012-02-14T00:00:00+0100,560542,ECO,"Commissie voor Economie, Economisch Overheidsinstrumentarium, Innovatie, Wetenschapsbeleid, Werk en Sociale Economie"
3430,J,"Commissie voor Leefmilieu, Natuur, Ruimtelijke Ordening en Onroerend Erfgoed",plaatsvervangend lid,2009-09-28T00:00:00+0200,2010-10-05T00:00:00+0200,560544,LEE,"Commissie voor Leefmilieu, Natuur, Ruimtelijke Ordening en Onroerend Erfgoed"
3430,J,Commissie ad hoc Versnelling Maatschappelijk Belangrijke Investeringsprojecten,plaatsvervangend lid,2009-11-25T00:00:00+0100,2010-03-03T00:00:00+0100,567302,VMBI,Commissie ad hoc Versnelling Maatschappelijk Belangrijke Investeringsprojecten
4386,J,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",vast lid,2024-10-09T16:45:00+0200,,1832481,FIN,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed"
4386,J,"Commissie voor Wonen, Toerisme, Energie en Klimaat",eerste ondervoorzitter,2024-10-09T16:45:00+0200,,1832499,WON,"Commissie voor Wonen, Toerisme, Energie en Klimaat"
4386,J,Commissie ad hoc,plaatsvervangend lid,2024-07-04T14:00:00+0200,2024-10-09T16:44:59+0200,1829775,AH,Commissie ad hoc
4386,J,"Commissie voor Binnenlands Bestuur, Gelijke Kansen en Inburgering",plaatsvervangend lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1332966,BIN,"Commissie voor Binnenlands Bestuur, Gelijke Kansen en Inburgering"
4386,J,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden, Internationale Samenwerking en Toerisme",plaatsvervangend lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333030,BUI,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden, Internationale Samenwerking en Toerisme"
4386,J,Commissie voor de bestrijding van gewelddadige radicalisering,plaatsvervangend lid,2019-12-18T14:00:00+0100,2024-06-08T23:59:59+0200,1352845,RAD,Commissie voor de bestrijding van gewelddadige radicalisering
4386,J,Commissie Vlaams Energie- en Klimaatplan,plaatsvervangend lid,2022-03-30T14:00:00+0200,2024-06-08T23:59:59+0200,1622680,VEKP,Commissie Vlaams Energie- en Klimaatplan
4386,J,"Commissie voor Algemeen Beleid, Financiën, Begroting en Justitie",vast lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1332937,FIN,"Commissie voor Algemeen Beleid, Financiën, Begroting en Justitie"
4386,J,Commissie voor Wonen en Onroerend Erfgoed,vast lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333265,WON,Commissie voor Wonen en Onroerend Erfgoed
4650,J,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832493,ECO,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie"
4650,J,"Commissie voor Wonen, Toerisme, Energie en Klimaat",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832499,WON,"Commissie voor Wonen, Toerisme, Energie en Klimaat"
4650,J,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",vast lid,2024-10-09T16:45:00+0200,,1832491,BUI,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking"
4650,J,Deontologische Commissie,vast lid,2024-10-09T16:45:00+0200,,1832503,DEO,Deontologische Commissie
4607,J,Commissie voor Binnenlands Bestuur en Inburgering,plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832489,BIN,Commissie voor Binnenlands Bestuur en Inburgering
4607,J,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832494,LAN,"Commissie voor Landbouw, Visserij en Plattelandsbeleid"
